ENTIDAD FEDERATIVA,FACULTAD O ESCUELA DE MEDICINA,SUSTENTANTES,SELECCIONADOS,PROMEDIO GENERAL,AGNO
CIUDAD DE MEXICO,UNIVERSIDAD AUTONOMA METROPOLITANA  UNIDAD XOCHIMILCO,437,90,60.901,2015
CIUDAD DE MEXICO,UNIVERSIDAD JUSTO SIERRA,264,29,57.166,2015
CIUDAD DE MEXICO,UNIVERSIDAD LA SALLE,391,143,66.438,2015
CIUDAD DE MEXICO,UNIVERSIDAD PANAMERICANA,49,32,73.569,2015
CIUDAD DE MEXICO,UNIVERSIDAD WEST HILL INSTITUTE,158,19,58.924,2015
DURANGO,UNIVERSIDAD AUTONOMA ESPA GN A DE DURANGO,18,1,51.765,2015
DURANGO,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO UNIDAD DURANGO,386,90,59.568,2015
DURANGO,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO UNIDAD GOMEZ PALACIO,237,53,60.849,2015
ESTADO DE MEXICO,ESCUELA MEDICINA TOMINAGA NAKAMOTO,203,23,55.995,2015
ESTADO DE MEXICO,UNAM FES IZTACALA,1408,256,59.284,2015
ESTADO DE MEXICO,UNIVERSIDAD ANAHUAC,480,106,62.325,2015
ESTADO DE MEXICO,UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,343,92,63.344,2015
GUANAJUATO,UNIVERSIDAD DE CELAYA,41,6,61.252,2015
GUANAJUATO,UNIVERSIDAD DE GUANAJUATO,184,73,66.455,2015
GUANAJUATO,UNIVERSIDAD LATINA DE MEXICO UNIDAD CELAYA,34,8,61.987,2015
GUANAJUATO,UNIVERSIDAD QUETZALCOATL,226,30,57.997,2015
GUERRERO,UNIVERSIDAD AUTONOMA DE GUERRERO,625,90,56.204,2015
GUERRERO,UNIVERSIDAD HIPOCRATES,8,1,53.694,2015
HIDALGO,UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO,677,123,60.814,2015
JALISCO,UNIVERSIDAD AUTONOMA DE GUADALAJARA,1681,369,61.12,2015
JALISCO,UNIVERSIDAD CUAUHTEMOC PLANTEL GUADALAJARA,1,1,69.556,2015
JALISCO,UNIVERSIDAD DE GUADALAJARA,1865,623,63.358,2015
JALISCO,UNIVERSIDAD DE GUADALAJARA UNIDAD CIUDAD GUZMAN,188,60,62.557,2015
